PLAYER,ROLEXRANK,SG:TOTAL,SG:TEE TO GREEN,SG:OFF THE TEE,SG:APPROACH,SG:AROUND THE GREEN,SG:PUTTING
Pornanong PhatlumRounds played 92,#120,0.05,-0.29,-0.10,-0.22,0.03,0.28
Caroline HedwallRounds played 2,#125,-0.30,0.44,-0.87,1.16,0.15,-1.28
Emily Kristine PedersenRounds played 73,#126,0.14,0.67,0.71,0.34,-0.38,-0.60
Stacy LewisRounds played 80,#128,0.09,-0.48,-0.33,0.28,-0.43,0.52
Albane ValenzuelaRounds played 81,#129,0.19,0.70,0.51,0.46,-0.28,-0.55
Lauren StephensonRounds played 74,#131,0.29,0.88,0.04,0.91,-0.07,-0.62
Morgane MetrauxRounds played 65,#132,-0.43,-0.59,-0.24,0.03,-0.39,0.07
Stephanie MeadowRounds played 83,#133,0.15,-0.59,0.14,-0.44,-0.29,0.64
Esther HenseleitRounds played 72,#137,-0.46,-0.27,-0.08,0.10,-0.29,-0.26
Angel YinRounds played 79,#138,-0.44,-0.89,-0.27,-0.67,0.05,0.49
Lindsey Weaver-WrightRounds played 67,#145,-0.35,-0.29,-0.29,0.05,-0.04,-0.08
Maude-Aimee LeblancRounds played 72,#146,-0.50,-0.70,-0.02,-0.36,-0.32,0.13
Elizabeth SzokolRounds played 37,#149,-0.48,-0.29,-0.47,0.37,-0.19,-0.28
Ruoning YinRounds played 45,#151,0.49,0.81,0.19,0.66,-0.05,-0.39
Austin ErnstRounds played 18,#153,-0.70,1.22,-0.45,1.18,0.49,-1.93
Klara Davidson SpilkovaRounds played 3,#159,0.23,-0.61,-1.15,1.15,-0.61,0.80
Yu LiuRounds played 77,#162,-0.27,0.03,0.31,-0.21,-0.07,-0.27
Jasmine SuwannapuraRounds played 83,#164,0.10,0.21,-0.44,0.50,0.15,-0.18
Lauren CoughlinRounds played 69,#166,0.09,0.48,0.19,0.57,-0.28,-0.47
Lee-Anne PaceRounds played 18,#168,-0.63,1.05,0.16,0.49,0.40,-1.80
Emma TalleyRounds played 86,#170,-0.12,-0.52,-0.37,0.02,-0.17,0.35
Olivia CowanRounds played 22,#174,-0.33,0.21,-0.16,0.40,-0.02,-0.69
Jennifer ChangRounds played 64,#176,0.19,0.10,-0.00,0.03,0.06,-0.02
Frida KinhultRounds played 74,#177,0.49,0.25,0.20,-0.01,0.06,0.16
Perrine DelacourRounds played 57,#178,0.08,-0.04,0.14,-0.30,0.13,0.02
Annie ParkRounds played 70,#179,-0.43,-0.24,0.22,0.08,-0.53,-0.33
Jeongeun Lee5Rounds played 74,#180,-0.28,0.40,0.42,-0.05,0.03,-0.78
Amy OlsonRounds played 65,#183,-0.28,-0.36,0.09,-0.24,-0.21,0.03
Su OhRounds played 63,#184,-0.81,-0.82,-0.40,-0.27,-0.15,-0.01
Haeji KangRounds played 69,#185,-0.23,-0.34,-0.80,0.17,0.29,0.03
Sarah KempRounds played 67,#187,-0.08,-0.04,-0.13,0.28,-0.18,-0.10
Brittany LincicomeRounds played 32,#192,-0.13,0.06,0.40,-0.54,0.20,-0.25
Aditi AshokRounds played 79,#193,-0.36,-1.14,-1.12,-0.37,0.36,0.77
Daniela DarqueaRounds played 36,#195,0.61,0.69,0.74,0.04,-0.15,-0.68
Sung Hyun ParkRounds played 55,#200,-0.50,-0.90,0.08,-0.55,-0.43,0.34
Gerina MendozaRounds played 49,#209,-0.60,-0.08,0.13,-0.11,-0.10,-0.48
Amanda DohertyRounds played 64,#213,0.16,0.13,0.49,-0.47,0.16,-0.08
Mel ReidRounds played 49,#220,-1.37,-1.06,0.08,-0.92,-0.22,-0.44
Caroline InglisRounds played 48,#221,0.14,0.22,-0.32,0.38,0.16,-0.02
Kelly TanRounds played 81,#223,-0.17,0.19,-0.15,0.23,0.11,-0.41
Peiyun ChienRounds played 64,#235,-0.18,0.63,0.36,0.26,-0.00,-0.74
Min LeeRounds played 60,#240,-0.47,-0.12,0.13,-0.36,0.17,-0.35
Muni HeRounds played 51,#242,-0.72,-0.88,-0.05,-0.05,-0.78,0.12
Ruixin LiuRounds played 64,#243,0.21,0.46,0.69,0.48,-0.71,-0.48
Sophia PopovRounds played 49,#245,-0.95,-1.34,-0.32,-0.79,-0.23,0.28
Charlotte ThomasRounds played 61,#253,-0.39,-0.28,-0.39,-0.16,0.27,-0.18
Anne Van DamRounds played 28,#255,-0.78,-0.63,0.46,-0.73,-0.36,-0.23
Jennifer SongRounds played 66,#259,-0.96,-0.40,0.15,-0.61,0.05,-0.50
Gina KimRounds played 33,#271,-0.61,-0.17,0.07,-0.06,-0.18,-0.45
Lindy DuncanRounds played 28,#272,-0.27,-0.15,0.17,-0.03,-0.30,-0.15
Dana FallRounds played 56,#273,-0.21,-0.73,-0.71,-0.09,0.06,0.47
Nicole Broch EstrupRounds played 14,#279,-0.73,-1.70,-0.04,-1.19,-0.47,0.80
Sanna NuutinenRounds played 47,#281,-1.47,-0.98,-0.38,-0.31,-0.29,-0.20
Azahara MunozRounds played 14,#282,0.50,0.20,-0.30,0.32,0.17,0.24
Pernilla LindbergRounds played 57,#284,-0.35,-0.64,-0.41,-0.39,0.15,0.21
Karis DavidsonRounds played 36,#292,0.22,-0.58,0.13,-0.47,-0.25,0.54
Brittany LangRounds played 41,#303,-0.52,-0.31,0.02,-0.44,0.12,-0.33
Yaeeun HongRounds played 58,#310,-0.91,-0.32,-0.69,-0.73,1.10,-0.54
Giulia MolinaroRounds played 58,#311,-0.99,-0.18,0.07,-0.23,0.02,-0.89
Angela StanfordRounds played 44,#312,-1.21,-1.50,-0.18,-1.27,-0.05,0.24
In Kyung KimRounds played 40,#319,-0.80,-1.24,-0.58,-0.70,0.04,0.35
Isi GabsaRounds played 59,#321,-0.30,-0.25,0.06,-0.42,0.12,-0.11
Bianca PagdangananRounds played 50,#324,-0.53,-1.11,0.63,-1.01,-0.72,0.53
Jenny ColemanRounds played 63,#325,-1.72,-0.41,-0.37,0.40,-0.44,-1.37
Jaye Marie GreenRounds played 36,#327,-0.85,-0.88,0.41,-0.63,-0.66,-0.01
Alena SharpRounds played 35,#328,-0.15,-0.63,0.17,-0.76,-0.03,0.39
Alana UriellRounds played 55,#337,-0.66,-0.73,0.46,-1.03,-0.15,0.02
Nuria IturriozRounds played 22,#340,-1.91,-1.51,-0.42,-0.40,-0.70,-0.48
Mi Hyang LeeRounds played 48,#341,-0.57,-0.62,-0.34,-0.13,-0.15,0.02
Dottie ArdinaRounds played 23,#342,-0.05,-0.98,-0.34,-0.82,0.18,0.62
Dani HolmqvistRounds played 7,#346,-1.05,0.32,0.59,-0.91,0.65,-1.43
Dewi WeberRounds played 58,#354,-0.33,0.56,0.42,0.19,-0.06,-0.88
Marissa SteenRounds played 27,#356,-1.49,-0.69,-0.57,-0.21,0.08,-0.89
Hee Young ParkRounds played 26,#359,-1.38,-1.05,-0.53,-0.41,-0.10,-0.36
Tiffany ChanRounds played 39,#366,-0.99,-0.20,-0.15,-0.06,0.01,-0.86
Mo MartinRounds played 30,#369,0.11,-0.14,-0.28,-0.05,0.19,0.15
Mirim LeeRounds played 26,#370,-2.03,-0.87,-0.69,0.04,-0.22,-1.40
