Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average SG Putts,SG:OTT,SG:APR,SG:ARG
74.0,56.26,285.2,64.05,28.91,59.55,0.045,-0.662,0.026,0.05
72.0,56.0,307.3,62.5,28.94,54.32,-0.35,0.375,-0.347,-0.015
64.0,55.79,319.7,66.3,28.46,62.97,0.06,0.7609999999999999,0.2689999999999999,0.322
65.0,55.69,297.0,60.94,28.18,58.86,0.308,-0.244,-0.252,0.133
92.0,55.59,298.7,69.04,29.53,55.24,0.03,-0.294,0.381,-0.15
79.0,55.5,294.2,64.59,29.24,52.51,-0.364,-0.437,-0.024,-0.314
71.0,55.45,301.0,62.48,28.88,53.3,0.201,-0.212,-0.696,-0.111
69.0,55.41,280.4,61.28,28.1,60.17,0.36,-1.443,0.222,0.407
80.0,55.27,302.5,67.42,29.42,55.76,-0.096,-0.046,-0.043,-0.084
60.0,55.22,296.2,61.75,29.12,56.98,-0.411,-0.392,0.389,-0.083
86.0,55.19,302.6,65.17,28.68,63.8,0.498,0.076,-0.392,-0.003
65.0,55.19,299.5,61.11,28.74,57.88,0.081,-0.035,-0.168,-0.073
94.0,55.11,298.1,63.57,28.33,62.94,0.1639999999999999,0.051,0.187,0.545
105.0,55.09,315.1,70.18,29.03,57.22,0.2319999999999999,0.481,0.5,0.222
75.0,54.94,318.3,65.38,29.13,54.42,0.072,0.506,-0.442,-0.207
92.0,54.92,300.0,66.34,29.36,54.89,-0.289,-0.0969999999999999,-0.083,-0.098
74.0,54.89,289.9,60.63,28.54,56.05,0.259,-1.023,-0.213,-0.027
101.0,54.79,303.1,65.67,28.86,55.88,0.225,0.181,-0.006,-0.124
53.0,54.76,291.9,63.72,30.0,51.56,-0.667,-0.079,-0.265,-0.187
87.0,54.73,315.9,67.08,29.56,52.08,-0.049,0.379,-0.24,-0.2789999999999999
51.0,54.69,287.1,56.79,27.82,54.86,0.736,-0.977,-1.586,-0.2769999999999999
98.0,54.66,314.6,68.36,29.45,58.41,-0.467,0.795,0.1939999999999999,0.349
78.0,54.11,292.6,64.94,29.51,52.89,-0.081,-0.68,0.096,0.084
51.0,53.58,290.6,61.85,30.2,44.01,-0.6,-0.457,-0.447,-0.432
81.0,53.49,299.0,61.9,28.34,59.09,0.324,-0.437,0.304,0.166
84.0,53.27,295.3,63.39,28.85,61.09,-0.057,-0.345,0.1169999999999999,0.595
84.0,53.27,289.1,60.35,28.46,54.99,0.363,-0.757,-0.365,-0.048
83.0,52.93,302.2,67.88,29.41,57.87,0.021,0.132,-0.04,0.156
90.0,52.91,300.3,64.88,28.11,58.36,0.51,-0.225,0.555,0.091
110.0,52.61,310.1,66.88,29.15,56.77,0.052,0.271,0.032,-0.026
91.0,52.22,301.4,62.77,28.44,56.95,0.325,-0.41,0.09,0.25
67.0,51.99,289.3,65.52,29.81,55.24,-0.104,-1.351,0.348,0.088
65.0,47.15,290.6,63.75,28.25,57.4,0.3379999999999999,-1.019,0.059,0.257
63.0,72.73,278.8,69.96,29.88,58.31,-0.0289999999999999,0.02,0.121,-0.005
75.0,71.67,289.9,68.65,30.29,56.31,-0.954,0.634,0.425,-0.429
93.0,71.49,272.3,63.59,28.92,57.99,-0.1369999999999999,-0.34,0.171,-0.1639999999999999
54.0,70.75,270.1,65.72,29.36,61.03,0.187,-0.491,0.492,-0.036
98.0,70.53,284.8,66.91,28.64,63.28,0.417,0.121,0.375,-0.073
89.0,70.06,284.8,67.23,29.61,57.08,-0.025,0.257,-0.193,-0.1369999999999999
75.0,69.8,291.9,67.22,28.91,62.95,-0.089,0.483,0.8420000000000001,0.128
105.0,69.7,272.7,64.7,28.87,65.5,0.035,-0.155,-0.141,0.218
58.0,69.21,273.6,62.02,29.0,51.64,0.473,-0.424,-0.09,-0.142
56.0,69.15,279.0,62.55,28.2,58.52,0.563,0.085,-0.036,-0.111
77.0,69.02,292.5,68.07,29.77,56.15,-0.127,0.422,0.143,-0.07
77.0,68.62,274.2,63.69,29.38,56.47,-0.452,-0.179,-0.256,0.0
104.0,68.55,296.5,70.39,29.63,58.35,-0.309,0.659,0.562,0.038
90.0,68.28,282.4,66.67,29.0,60.52,0.139,-0.001,0.135,-0.168
51.0,68.24,280.5,60.99,28.51,63.64,0.479,0.259,-0.953,0.054
86.0,67.97,278.5,65.68,29.13,59.02,-0.155,-0.15,-0.024,0.105
82.0,67.9,288.0,65.05,29.04,56.74,-0.017,-0.006,0.498,-0.173
89.0,67.82,279.0,65.56,29.38,61.1,0.03,-0.161,-0.195,-0.073
69.0,67.54,276.9,65.17,29.14,59.75,-0.309,-0.289,-0.212,0.3979999999999999
97.0,67.21,285.6,69.07,29.51,64.63,-0.286,0.0409999999999999,0.506,0.144
85.0,67.19,282.1,66.45,29.51,61.08,-0.359,-0.02,-0.2,0.127
75.0,67.09,288.0,66.58,29.35,57.46,-0.349,0.102,0.181,-0.119
105.0,67.0,288.7,66.43,28.79,62.5,0.3879999999999999,0.257,0.3339999999999999,0.065
93.0,66.75,281.0,64.71,29.07,61.85,-0.052,-0.175,0.016,0.115
81.0,66.54,286.8,64.16,28.52,60.08,0.417,-0.005,-0.0069999999999999,0.226
104.0,66.23,299.4,68.93,29.36,59.49,-0.216,0.625,0.139,0.004
